timestamp,task_id,subtask_id,user_id,action,outcome,detail,command,version,input,pr
2026-09-24T08:06:25.379Z,P0001,,38179254,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0001""}",1
2026-09-24T08:07:48.142Z,P0001,,38179254,submit_encoding,accepted,,campaign.submitOmrLayout,2,"{""task_id"":""P0001"",""staves"":21,""measures"":31,""systems"":5,""movements"":1}",2
2026-09-24T08:08:40.652Z,P0001,S0001,297915765,claim_validation,accepted,,campaign.claimValidation,1,"{""task_id"":""P0001"",""subtask_id"":""S0001""}",3
2026-09-24T08:09:45.139Z,P0001,S0001,297915765,submit_validation,accepted,pass,campaign.submitValidation,2,"{""task_id"":""P0001"",""subtask_id"":""S0001"",""verdict"":""pass""}",4
2026-09-24T08:10:22.049Z,P0002,,297915765,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0002""}",5
2026-09-24T08:11:51.955Z,P0002,,297915765,submit_encoding,accepted,,campaign.submitScoreSetup,1,"{""task_id"":""P0002"",""staves"":3,""groups"":1,""keysig"":""0"",""meter"":""4/4""}",6
2026-09-24T08:12:48.702Z,P0002,S0001,38179254,claim_validation,accepted,,campaign.claimValidation,1,"{""task_id"":""P0002"",""subtask_id"":""S0001""}",7
2026-09-24T08:13:52.680Z,P0002,S0001,38179254,submit_validation,accepted,pass,campaign.submitValidation,2,"{""task_id"":""P0002"",""subtask_id"":""S0001"",""verdict"":""pass""}",8
2026-09-24T08:14:32.873Z,T0001,,38179254,claim_encoding,accepted,,campaign.openEditor,1,"{""task_id"":""T0001""}",9
2026-09-24T14:09:08.930Z,T0001,,38179254,reap,released,encoding,,,,
2026-09-25T10:10:08.772Z,T0001,,38179254,claim_encoding,accepted,,campaign.openEditor,1,"{""task_id"":""T0001""}",10
